Time,Team,Half,Outcome,Pass Height,Action Type,X,Y,X2,Y2
03:46.5,Team1,1,Successful,Low,Pass,-23.64,20.79,-9.45,23.86
03:50.5,Team1,1,Unsuccessful,Low,Pass,-0.3,23.4,14.53,21.31
03:54.4,Team1,1,Successful,Low,Pass,-17.1,11.18,15.84,17.78
03:56.9,Team1,1,Successful,Low,Pass,16.82,16.54,28.06,11.24
04:04.9,Team1,1,Unsuccessful,Low,Shot,27.8,5.69,33.36,0.07
04:07.9,Team1,1,Unsuccessful,Low,Pass,-8.15,9.81,-23.83,0.66
04:10.1,Team1,1,Successful,Low,Pass,-23.83,0.66,-14.29,1.05
04:11.4,Team1,1,Successful,Low,Pass,-14.29,1.05,-2.39,-3.53
04:14.9,Team1,1,Successful,Low,Pass,-20.11,-9.8,-7.56,-5.94
04:44.2,Team1,1,Unsuccessful,Low,Pass,-7.88,-5.76,-23.64,0.26
05:14.0,Team1,1,Successful,Low,Pass,-23.64,0.26,4.08,-15.36
05:28.8,Team1,1,Successful,Low,Pass,4.08,-15.36,12.44,-12.03
05:32.4,Team1,1,Successful,Low,Pass,12.51,-11.98,10.87,10.83
05:39.1,Team1,1,Unsuccessful,Low,Pass,6.04,6.85,15.06,-7.27
05:43.0,Team1,1,Successful,Low,Pass,-1.15,-22.43,25.12,-18.58
11:09.1,Team1,2,Successful,Low,Pass,-11.61,-19.23,6.69,-7.14
11:12.2,Team1,2,Successful,Low,Pass,-20.24,-9.82,-23.77,0.51
11:43.3,Team1,2,Successful,Low,Pass,-23.37,0.77,-22.65,-23.15
11:46.7,Team1,2,Successful,Low,Pass,-17.62,-22.83,7.54,-22.57
11:50.9,Opponent,2,Successful,High,Shot,-17.88,7.25,-33.44,1.89
11:53.1,Team1,2,Successful,Low,Pass,-9.06,0.71,-14.29,15.42
12:18.1,Team1,2,Successful,Low,Pass,-14.29,15.42,-26.32,10.58
12:19.2,Team1,2,Unsuccessful,Low,Pass,-26.32,10.51,-23.7,1.1
16:01.2,Team1,2,Successful,Low,Pass,-6.32,-11.26,20.09,-8.38
16:03.6,Team1,2,Successful,High,Shot,25.71,-5.63,33.68,-0.21
16:08.5,Opponent,2,Successful,Low,Shot,-21.54,-17.98,-33.31,0.32
16:20.7,Team1,2,Successful,Low,Pass,0.22,9.27,5.71,25.42
16:23.9,Team1,2,Successful,Low,Pass,5.84,25.22,24.73,25.15
16:27.4,Team1,2,Unsuccessful,Low,Pass,25.32,24.57,32.05,10.78
