Time,Team,Half,Outcome,Pass Height,Action Type,X,Y,X2,Y2
00:12.9,Team1,1,Successful,Low,Pass,-33.43,-3.81,-19.18,-13.14
04:06.4,Team1,1,Successful,Low,Pass,-20.09,8.69,-7.76,14.44
04:09.5,Team1,1,Unsuccessful,Low,Pass,-40.76,-0.89,5.66,-18.56
04:12.0,Team1,1,Successful,Low,Pass,-19.09,-22.64,22.16,-9.73
04:18.5,Team1,1,Successful,Low,Pass,-14.84,1.94,2.82,1.94
05:48.5,Team1,1,Unsuccessful,Low,Pass,-6.01,27.36,19.49,23.27
05:50.8,Team1,1,Successful,Low,Pass,28.07,-0.89,33.49,13.36
05:54.1,Team1,1,Successful,Low,Pass,29.24,-8.23,44.57,-16.23
05:57.0,Team1,1,Successful,Low,Pass,41.74,-1.89,51.57,0.11
06:00.2,Team1,1,Successful,Low,Shot,-29.68,19.28,-40.68,11.36
06:16.1,Team1,1,Successful,Low,Pass,-42.26,9.95,-28.18,2.45
08:18.6,Team1,1,Successful,Low,Pass,-27.43,2.11,-18.76,0.53
08:22.0,Team1,1,Successful,Low,Pass,-34.68,-11.55,-42.26,0.95
19:01.7,Team1,1,Successful,Low,Pass,-42.18,1.53,-39.76,-24.22
19:04.8,Team1,1,Unsuccessful,Low,Pass,-37.76,-24.57,-14.68,-26.24
19:07.0,Team1,2,Successful,Low,Pass,-2.26,-20.66,8.66,0.01
19:08.5,Team1,2,Successful,Low,Pass,8.74,1.18,26.07,13.34
19:11.2,Team1,2,Successful,Low,Pass,37.32,14.44,51.41,0.69
19:13.6,Team1,2,Successful,Low,Shot,46.57,11.19,52.07,3.69
19:19.7,Opponent,2,Successful,High,Shot,-41.84,7.18,-51.09,1.68
19:22.5,Team1,2,Successful,Low,Shot,-9.18,-1.08,-28.34,8.34
19:25.5,Team1,2,Successful,Low,Pass,-28.34,8.34,-9.43,21.34
19:26.7,Team1,2,Unsuccessful,Low,Pass,1.91,17.34,17.24,1.17
20:03.4,Team1,2,Successful,Low,Pass,19.99,-0.08,40.49,0.75
20:05.3,Team1,2,Successful,High,Pass,18.82,-1.91,27.91,-23.41
20:06.9,Team1,2,Unsuccessful,Low,Pass,20.24,-23.49,40.07,-17.58
20:09.9,Team1,2,Successful,Low,Pass,-2.93,-24.83,-21.26,-17.83
20:15.8,Team1,2,Successful,Low,Pass,-20.84,-17.66,-6.76,-7.66
20:17.8,Opponent,2,Successful,Low,Shot,-45.68,-7.57,-51.09,-1.32
