Time,Team,Half,Outcome,Pass Height,Action Type,X,Y,X2,Y2
02:01.3,Team1,1,Successful,Low,Pass,-4.09,5.69,-13.37,16.67
02:07.4,Team1,1,Unsuccessful,Low,Pass,-13.7,16.67,-1.94,18.89
02:17.6,Team1,1,Successful,Low,Pass,-2.33,18.89,-13.18,21.38
03:27.0,Team1,1,Successful,Low,Pass,-13.24,21.38,-23.44,12.23
03:45.5,Team1,1,Successful,Low,Pass,-23.64,12.23,-12.79,5.36
04:14.1,Team1,1,Successful,Low,Pass,-22.2,-0.39,-9.98,-3.26
04:39.6,Team1,1,Successful,Low,Pass,-14.48,-16.76,1.99,-3.82
04:42.7,Team1,1,Unsuccessful,Low,Pass,2.18,-4.08,0.09,9.58
04:55.7,Team1,1,Unsuccessful,Low,Pass,-14.68,-17.15,-0.11,-25.78
05:11.2,Team1,1,Successful,Low,Pass,-0.11,-25.78,-4.68,-18.85
05:17.0,Team1,1,Successful,Low,Pass,-4.68,-18,12.7,-11.79
05:19.7,Team1,1,Successful,Low,Pass,15.78,-9.44,25.52,-23.62
05:55.3,Team1,1,Successful,Low,Pass,25.71,-23.88,28.52,-6.3
05:57.9,Team1,1,Successful,Low,Shot,26.04,10.18,33.68,0.25
05:58.7,Team1,1,Successful,Low,Pass,-2.46,12.8,10.55,20.12
22:46.6,Team1,2,Unsuccessful,Low,Shot,28.46,-6.55,33.62,-3.68
22:49.7,Team1,2,Unsuccessful,Low,Pass,10.74,20.65,17.28,26.73
22:59.3,Team1,2,Successful,Low,Pass,-9.19,-10.41,-23.37,-3.48
23:32.3,Team1,2,Successful,Low,Pass,-23.37,-3.48,-12.26,5.47
23:37.1,Team1,2,Successful,High,Pass,-12.46,5.21,4.21,-4.07
23:41.4,Team1,2,Successful,Low,Pass,4.67,-4.33,6.63,7.17
23:42.6,Team1,2,Successful,Low,Pass,-19.13,-22.39,2.12,-21.93
22:46.6,Opponent,2,Successful,Low,Shot,-28.21,-10.4,-33.9,-0.4
22:49.7,Team1,2,Successful,Low,Pass,-29.45,-13.23,-34.09,-20.16
22:59.3,Team1,2,Successful,High,Pass,-34.03,-20.23,-10.11,-25.91
23:32.3,Team1,2,Successful,Low,Pass,-27.36,15.61,-25.4,24.5
23:37.1,Team1,2,Successful,Low,Pass,7.74,15.47,22.7,6.65
23:41.4,Team1,2,Successful,Low,Pass,11.72,-24.02,28.91,-24.02
23:42.6,Team1,2,Unsuccessful,Low,Pass,-14.75,9.53,-24.03,0.51
