Time,Team,Half,Outcome,Pass Height,Action Type,X,Y,X2,Y2
14:32.7,Team1,1,Successful,Low,Pass,-29.26,18.36,-21.59,27.77
14:36.0,Team1,1,Successful,Low,Pass,-20.34,27.94,-41.09,9.69
14:41.4,Team1,1,Unsuccessful,Low,Pass,-41.51,8.27,-33.51,-2.06
14:44.0,Team1,1,Unsuccessful,Low,Pass,-28.34,-12.23,-23.68,3.61
14:46.0,Team1,1,Successful,Low,Pass,-21.51,14.69,6.49,18.02
14:47.9,Team1,1,Successful,Low,Pass,-12.93,9.77,-8.18,-8.06
14:48.8,Team1,1,Successful,Low,Pass,-5.76,-23.14,-7.34,17.36
14:52.2,Team1,1,Successful,Low,Pass,-6.43,18.52,7.41,4.27
15:01.4,Team1,1,Successful,Low,Pass,6.57,4.36,30.16,19.77
15:04.2,Team1,1,Successful,Low,Pass,13.49,27.52,35.32,27.11
15:54.9,Team1,1,Successful,Low,Pass,38.07,18.02,12.57,26.36
15:58.3,Team1,1,Unsuccessful,Low,Pass,9.41,27.94,48.32,28.02
15:59.0,Opponent,1,Successful,Low,Shot,-35.34,-22.01,-50.84,-0.93
16:00.6,Team1,1,Successful,Low,Pass,-20.09,-22.26,22.99,-13.76
16:01.7,Team1,1,Successful,Low,Pass,23.41,-13.51,24.66,-27.26
18:34.2,Team1,2,Successful,Low,Pass,33.74,-28.93,47.99,-23.26
18:45.3,Team1,2,Successful,Low,Pass,-40.84,-17.6,-47.51,-29.43
18:47.9,Team1,2,Successful,Low,Pass,-44.43,-30.93,-24.26,-33.1
19:28.8,Team1,2,Successful,Low,Pass,-24.09,-32.76,-33.01,-29.35
19:58.5,Team1,2,Successful,High,Pass,-32.09,-29.35,-21.43,-27.76
20:37.3,Opponent,2,Successful,Low,Shot,-33.34,-3.18,-50.34,-1.35
20:40.6,Team1,2,Successful,Low,Pass,-32.09,-17.76,-6.93,-29.01
20:42.8,Team1,2,Successful,Low,Pass,-42.18,28.32,-17.43,9.32
20:46.2,Team1,2,Unsuccessful,Low,Shot,32.99,11.83,51.57,1.91
21:27.4,Team1,2,Successful,High,Pass,9.41,-26.63,38.24,-28.71
21:28.7,Team1,2,Successful,Low,Pass,7.32,-4.94,7.57,-24.44
21:31.8,Team1,2,Successful,Low,Pass,7.57,-24.44,24.91,-31.44
31:26.2,Team1,2,Unsuccessful,Low,Pass,1.49,-33.02,-13.34,-16.77
32:09.7,Team1,2,Successful,Low,Pass,-13.59,-16.61,-5.26,7.98
