Time,Team,Half,Outcome,Pass Height,Action Type,X,Y,X2,Y2,match_id,Group,Team_name,Opponent,Condition,Format,start_xT,end_xT,xT_added,start_zone,end_zone,score_diff,score_state,success,positive_xt,Transition
03:46.5,Team1,1,Successful,Low,Pass,-23.64,20.79,-9.45,23.86,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.00878589,0.01126267,0.0024767800000000013,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
03:50.5,Team1,1,Unsuccessful,Low,Pass,-0.3,23.4,14.53,21.31,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,,,,Middle,Attacking,0,Drawing,0,0,Middle->Attacking
03:54.4,Team1,1,Successful,Low,Pass,-17.1,11.18,15.84,17.78,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01110462,0.024015210000000002,0.012910590000000001,Defensive,Attacking,0,Drawing,1,1,Defensive->Attacking
03:56.9,Team1,1,Successful,Low,Pass,16.82,16.54,28.06,11.24,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.024015210000000002,0.05491138,0.03089617,Attacking,Attacking,0,Drawing,1,1,Attacking->Attacking
04:04.9,Team1,1,Unsuccessful,Low,Shot,27.8,5.69,33.36,0.07,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,,,,Attacking,Attacking,0,Drawing,0,0,Attacking->Attacking
04:07.9,Team1,1,Unsuccessful,Low,Pass,-8.15,9.81,-23.83,0.66,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,,,,Middle,Defensive,0,Drawing,0,0,Middle->Defensive
04:10.1,Team1,1,Successful,Low,Pass,-23.83,0.66,-14.29,1.05,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01082722,0.01132376,0.0004965400000000002,Defensive,Defensive,0,Drawing,1,1,Defensive->Defensive
04:11.4,Team1,1,Successful,Low,Pass,-14.29,1.05,-2.39,-3.53,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01132376,0.01484598,0.0035222199999999995,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
04:14.9,Team1,1,Successful,Low,Pass,-20.11,-9.8,-7.56,-5.94,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01001304,0.01262646,0.00261342,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
04:44.2,Team1,1,Unsuccessful,Low,Pass,-7.88,-5.76,-23.64,0.26,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,,,,Middle,Defensive,0,Drawing,0,0,Middle->Defensive
05:14.0,Team1,1,Successful,Low,Pass,-23.64,0.26,4.08,-15.36,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01082722,0.01611813,0.005290910000000001,Defensive,Middle,0,Drawing,1,1,Defensive->Middle
05:28.8,Team1,1,Successful,Low,Pass,4.08,-15.36,12.44,-12.03,BB1_Team1-Team2(1),BB1,Team1,Team2,Bio-banding,7v7,0.01611813,0.0241224,0.008004269999999997,Middle,Attacking,0,Drawing,1,1,Middle->Attacking
